NAME,TYPE,LOCATION,SUBSCRIPTION,RESOURCEGROUP,REPO(TAG)
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertsecurity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-sys-ods-dai-alphacertstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertcontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertexport,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertidentity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertods,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertrds,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertrdscontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertrdsstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertsecurity,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-tst-ods-dai-alphacertstage,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertcontrol,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
sql-aue-ppd-ods-dai-01/sqldb-aue-uat-ods-dai-alphacertexport,Microsoft.Sql/servers/databases,australiaeast,AU-PREPROD-SUB001,rg-aue-ppd-dai-ods-01,
